title,cover,rating,director,actor,category,country,language,pub_date,duration
我不是药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,9.0,文牧野,徐峥 / 王传君 / 周一围 / 谭卓 / 章宇 / 杨新鸣 / 王佳佳 / 王砚辉 / 贾晨飞 / 龚蓓苾 / 宁浩 / 李乃文 / 岳小军 / 苇青 / 富冠铭 / 巴拉特·巴蒂 / 喜利图 / 张海艳 / 朱耕佑,剧情 / 喜剧, 中国大陆, 汉语普通话 / 英语 / 上海话 / 印地语,2018-07-05(中国大陆) / 2018-06-30(大规模点映),117分钟
阿甘正传 Forrest Gump,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,9.5,罗伯特·泽米吉斯,汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯 / 麦凯尔泰·威廉逊 / 莎莉·菲尔德 / 海利·乔·奥斯蒙 / 迈克尔·康纳·亨弗里斯 / 哈罗德·G·赫瑟姆 / 山姆·安德森 / 伊俄涅·M·特雷奇 / 彼得·道博森 / 希芳·法隆 / 伊丽莎白·汉克斯 / 汉娜·豪尔 / 克里斯托弗·琼斯 / 罗布·兰德里 / 杰森·麦克奎尔 / 桑尼·施罗耶 / 艾德·戴维斯 / 丹尼尔C.斯瑞派克 / 大卫·布里斯宾 / 德博拉·麦克蒂尔 / 艾尔·哈林顿 / 阿非莫·奥米拉 / 约翰·沃德斯塔德 / 迈克尔·伯吉斯 / 埃里克·安德伍德 / 拜伦·明斯 / 斯蒂芬·布吉格沃特 / 约翰·威廉·高尔特 / 希拉里·沙普兰 / 伊莎贝尔·罗斯 / 理查德·达历山德罗 / 迪克·史迪威 / 迈克尔-杰斯 / 杰弗里·布莱克 / 瓦妮莎·罗斯 / 迪克·卡维特 / 马拉·苏查雷特扎 / 乔·阿拉斯奇 / W·本森·泰瑞,剧情 / 爱情, 美国, 英语,1994-06-23(洛杉矶首映) / 1994-07-06(美国),142分钟
第十一回,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2637603645.jpg,7.4,陈建斌,陈建斌 / 周迅 / 大鹏 / 窦靖童 / 春夏 / 王学兵 / 宋佳 / 牛犇 / 刘金山 / 于谦 / 贾冰 / 黄建新 / 史航 / 方龄 / 李九霄,剧情 / 喜剧, 中国大陆, 汉语普通话,2021-04-02(中国大陆) / 2019-04(北京国际电影节),117分钟
肖申克的救赎 The Shawshank Redemption,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,9.7,弗兰克·德拉邦特,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪, 美国, 英语,1994-09-10(多伦多电影节) / 1994-10-14(美国),142分钟
千与千寻 千と千尋の神隠し,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,9.4,宫崎骏,柊瑠美 / 入野自由 / 夏木真理 / 菅原文太 / 中村彰男 / 玉井夕海 / 神木隆之介 / 内藤刚志 / 泽口靖子 / 我修院达也 / 大泉洋 / 小林郁夫 / 上条恒彦 / 小野武彦,剧情 / 动画 / 奇幻, 日本, 日语,2019-06-21(中国大陆) / 2001-07-20(日本),125分钟
泰坦尼克号 Titanic,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,9.4,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩 / 凯西·贝茨 / 弗兰西丝·费舍 / 格劳瑞亚·斯图尔特 / 比尔·帕克斯顿 / 伯纳德·希尔 / 大卫·沃纳 / 维克多·加博 / 乔纳森·海德 / 苏茜·爱米斯 / 刘易斯·阿伯内西 / 尼古拉斯·卡斯柯恩 / 阿那托利·萨加洛维奇 / 丹尼·努齐 / 杰森·贝瑞 / 伊万·斯图尔特 / 艾恩·格拉法德 / 乔纳森·菲利普斯 / 马克·林赛·查普曼 / 理查德·格拉翰 / 保罗·布赖特威尔 / 艾瑞克·布里登 / 夏洛特·查顿 / 博纳德·福克斯 / 迈克尔·英塞恩 / 法妮·布雷特 / 马丁·贾维斯 / 罗莎琳·艾尔斯 / 罗切尔·罗斯 / 乔纳森·伊万斯-琼斯 / 西蒙·克雷恩 / 爱德华德·弗莱彻 / 斯科特·安德森 / 马丁·伊斯特 / 克雷格·凯利 / 格雷戈里·库克 / 利亚姆·图伊 / 詹姆斯·兰开斯特 / 艾尔莎·瑞雯 / 卢·帕尔特 / 泰瑞·佛瑞斯塔 / 凯文·德·拉·诺伊,剧情 / 爱情 / 灾难, 美国 / 墨西哥 / 澳大利亚 / 加拿大, 英语 / 意大利语 / 德语 / 俄语,1998-04-03(中国大陆) / 1997-11-01(东京电影节) / 1997-12-19(美国),194分钟 / 227分钟(白星版)
绿皮书 Green Book,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,8.9,彼得·法雷里,维果·莫腾森 / 马赫沙拉·阿里 / 琳达·卡德里尼 / 塞巴斯蒂安·马尼斯科 / 迪米特·D·马里诺夫 / 迈克·哈顿 / P·J·伯恩 / 乔·柯蒂斯 / 玛姬·尼克松 / 冯·刘易斯 / 乔恩·索特兰 / 唐·斯达克 / 安东尼·曼加诺 / 保罗·斯隆 / 珍娜·劳伦索 / 肯尼斯·以色列 / 伊克博·塞巴 / 尼克·瓦莱隆加 / 大卫·安 / 迈克·切罗内 / 杰拉尔丁·辛格 / 马丁·巴特斯·布拉德福德 / 格拉伦·布莱恩特·班克斯 / 汤姆·维图 / 夏恩·帕特洛 / 丹尼斯·W·霍尔 / 吉姆·克洛克 / 戴恩·罗兹 / 布赖恩·斯特帕尼克 / 乔恩·迈克尔·戴维斯 / 布莱恩·库瑞 / 托尼亚·马尔多纳多,剧情 / 喜剧 / 音乐 / 传记, 美国 / 中国大陆, 英语 / 意大利语 / 俄语 / 德语,2019-03-01(中国大陆) / 2018-09-11(多伦多电影节) / 2018-11-16(美国),130分钟
摔跤吧！爸爸 Dangal,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,9.0,涅提·蒂瓦里,阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔 / 阿帕尔夏克提·库拉那 / 沙克希·坦沃 / 塞伊拉·沃西 / 苏哈妮·巴特纳格尔 / 里特维克·萨霍里 / 吉里什·库卡尼,剧情 / 家庭 / 传记 / 运动, 印度, 印地语 / 英语,2017-05-05(中国大陆) / 2016-12-23(印度),161分钟(印度) / 140分钟(中国大陆)
疯狂动物城 Zootopia,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,9.2,拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什,金妮弗·古德温 / 杰森·贝特曼 / 伊德里斯·艾尔巴 / 珍妮·斯蕾特 / 内特·托伦斯 / 邦尼·亨特 / 唐·雷克 / 汤米·钟 / J·K·西蒙斯 / 奥克塔维亚·斯宾瑟 / 艾伦·图代克 / 夏奇拉 / 雷蒙德·S·佩尔西 / 德拉·萨巴 / 莫里斯·拉马奇 / 菲尔·约翰斯顿 / 约翰·迪·马吉欧 / 凯蒂·洛斯 / 吉塔·雷迪 / 杰西·科尔蒂 / 汤米·利斯特 / 乔希·达拉斯 / 瑞奇·摩尔 / 凯斯·索西 / 彼得·曼斯布里奇 / 拜伦·霍华德 / 杰拉德·布什 / 马克·史密斯 / 乔西·特立尼达 / 约翰·拉维尔 / 克里斯汀·贝尔 / 吉尔·科德斯 / 梅利莎·古德温,喜剧 / 动画 / 冒险, 美国, 英语 / 挪威语,2016-03-04(中国大陆/美国) / 2020-07-24(中国大陆重映),109分钟(中国大陆) / 108分钟
赤狐书生,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627575957.jpg,5.0,宋灏霖 / 伊力奇,陈立农 / 李现 / 哈妮克孜 / 裴魁山 / 姜超 / 张晨光 / 李晓川 / 王耀庆 / 郝劭文 / 恬妞 / 杨紫 / 林君俊 / 彭杨斐  / 郭唐维 / 欧阳佑同  / 路文博 / 齐若壹,喜剧 / 奇幻 / 古装, 中国大陆, 汉语普通话,2020-12-04(中国大陆),125分钟
侍神令,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2629260713.jpg,5.5,李蔚然,陈坤 / 周迅 / 陈伟霆 / 屈楚萧 / 王丽坤 / 沈月 / 王紫璇 / 王悦伊 / 孙红雷 / 艾米,奇幻, 中国大陆, 汉语普通话,2021-02-12(中国大陆),120分钟
姜子牙,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2621219978.jpg,6.7,程腾 / 李炜,郑希 / 杨凝 / 图特哈蒙 / 阎么么 / 季冠霖 / 姜广涛,剧情 / 动画 / 奇幻, 中国大陆, 汉语普通话,2020-10-01(中国大陆),110分钟
